source,bolum,soru,secenekler,cevap,cevap_idx
tr_mmlu,AUZEF,"Risk yönetimi, etkin bir işleyiş için aşağıdakilerden hangisine gereksinim duymaz?","['Organizasyon dâhilinde sorumlulukların dağıtımına', 'Bütün paydaşlarda risklere karşı duyarlılığın oluşturulması eğitimine', 'Alt kademe çalışanların refah düzeyine ', 'Organizasyonun üst ve alt kademe yöneticilerinin katkılarına ', 'Gelişim için kaynakların uygun tahsisine']",C,2
tr_mmlu,AUZEF,Emredici işaretlerin temel nitelikleri ile ilgili aşağıdakilerden hangisi doğrudur?,"['Dikdörtgen biçiminde', 'Daire biçiminde', 'Düz beyaz zemin üzerine mavi piktogram', 'Üçgen biçiminde', 'Kare biçiminde']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi çığın zararlarını azaltmak için afet öncesinde alınması gereken bireysel önlemlerden değildir?,"['Çığ riski bulunan yerlerde yerel yönetim ve diğer yetkili kamu idarelerinin çığa ilişkin emir ve talimatlarına uymak', 'Özellikle hipotermiyi önleyici malzeme bulundurmak', 'Çığ riski olan bölgelerdeyseniz yerinizin kısa zamanda belirlenmesi için üzerinizde bir sinyal verici taşımak', 'Tehlikenin geldiğini gösteren doğal belirtilerin neler olduğunu öğrenmek', 'Arabanızın motorunu durdurup ışıkları söndürmek ']",E,4
tr_mmlu,AUZEF,Aşağıdakilerden hangisi depremin zararlarını azaltmak için afet öncesi alınması gereken bireysel önlemlerden değildir?,"['Deprem sonrası tahliye planı oluşturmak', 'İlk yardım kursları almak', 'Duvar, zemin, kapı ve pencereleri inceleyerek çatlak veya diğer hasarların bulunup bulunmadığını, gevşek sıva ve düşebilecek tavan olup olmadığını kontrol etmek ', 'Evdeki bireylere acil telefon numaralarını ezberletmek', 'Evdeki her odada ve yaşadığınız yer dışındaki açık alanda güvenli yerleri belirlemek.']",C,2
tr_mmlu,AUZEF,Aşağıdakilerden hangisi tsunamiye neden olmaz?,"[' Denizlerde meydana gelen heyelanlar', ' Volkanik patlamalar', ' Karalarda meydana gelen ve denize dökülen büyük heyelanlar', ' Dalma batma zonlarındaki depremler', ' Karalar üzerinde meydana gelen depremler']",E,4
tr_mmlu,AUZEF,İş kazalarının arasında önlenmesi mümkün olmayan kaçınılmaz kazaların oranı aşağıdakilerden hangisidir?,"['5', '2', '3', '20', '10']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi tehlikeye neden olacak veya tehlikeye maruz bırakacak bir davranışı yasaklayan işarettir?,"['Tehlike işareti', 'Yangın işareti', 'Uyarı işareti', 'Tehlike uyarı işareti', 'Yasak işareti']",E,4
tr_mmlu,AUZEF,Aşağıdakilerden hangisi teknik periyodik kontrollerin esaslarından biri değildir?,"[' Verimlilik', ' İkame', ' Süreklilik', ' İş emniyeti', ' Güvenlik']",B,1
tr_mmlu,AUZEF,Biyolojik savaşlarda mikroorganizmalarca serbestlenen maddelere ne ad verilir?,"[' Radyoaktif serpinti', ' Biyoaktif madde', ' Doku maddesi', ' Yapay biyolojik madde', ' Kimyasal madde']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi işverenin iş kazası veya meslek hastalığı sonucu karşılaşacağı dolaylı maliyetler arasında yer almaktadır?,"['Ölüm tazminatları', 'Hastane masrafları', 'Malullük aylıkları', 'Sigortalıya ödenen tazminatlar', 'Üretimde ortaya çıkan azalmalar']",E,4
tr_mmlu,AUZEF,Aşağıdakilerden hangisi  crush sendromunun lokal belirtilerinden biridir?,"['Akut böbrek yetmezliği', 'Hipotansiyon', 'Hipovolemik şok', 'Hiperpotasemi', 'Periferik nöropati']",E,4
tr_mmlu,AUZEF,"Yer kabuğunda bulunan su, yer altı ve yer üstü olmak üzere iki farklı ortamda bulunur ve bu su sürekli bir çevrim halindedir. Bu çevrim bazen, atmosferik acil durumların ortaya çıkmasına ve bir kısmının da afete dönüşmesine neden olur. Yukarıda bahsedilen olay aşağıdakilerden hangisidir?","[' Kayaç döngüsü', ' Ani yağışlar', ' Kütle hareketleri', ' Su döngüsü', ' Zemin sıvılaşması']",D,3
tr_mmlu,AUZEF,Aşağıdakilerden hangisi askeri hemşirelerin İran körfezinde askeri birliklere verdiği bir hizmettir ?,"[' Biyolojik ajanla mücadele hizmeti', ' Biyosilah ile mücadele hizmeti', ' Biyolojik ajan tedavisi', ' Biyosavaş bakımı', ' Biyomekanik tedavi']",D,3
tr_mmlu,AUZEF,Dünyada insan eliyle oluşturulan en büyük afetlerden sayılan 2. Dünya savaşında hangi ülkede sivil ölümler asker ölümlerinden en az 4 kat fazla oluştur?,"['Çin       ', 'Amerika          ', 'İtalya            ', 'Almanya  ', 'Japonya']",A,0
tr_mmlu,AUZEF,Aşağıdakilerden hangisi solunum ajanı maruziyeti sonrası uygulanacak tedavi ve bakım girişimlerinden biri değildir?,"[' Hava yolu açıklığı sağlanmalıdır.', ' Vücut soğuk tutulmalıdır.', ' Gözler ve cilt derhal suyla dekontamine edilmelidir.', ' Sıcak, nemli hava ve destekleyici oksijen verilmelidir.', ' İlk tedavi dekontaminasyon ve etkilenen kişiyi kaynaktan temiz havaya çıkarmaktır.']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi depremin zararlarını azaltmak için afet sonrası alınması gereken bireysel önlemlerden değildir?,"['Sakat, sıkışmış, zor durumdaki kişilere yardım etmek', 'Pilli bir radyodan durum hakkında sağlıklı bilgi edinmek', 'Hasarlı binalardan uzak durmak', 'Afet sonrası olabilecek sorunlara karşı hazırlıklı olmak', 'Rüzgar altı alanlarda durmaktan kaçınmak ']",E,4
tr_mmlu,AUZEF,Aşağıdakilerden hangisi tozların neden olabileceği meslek hastalığının önlenmesi için uygun bir çalışma yöntemi değildir?,"['Ayırmalı çalışma', 'Nemi yok etme, kuru ortamda çalışma', 'Yerine koyma', 'Yerel havalandırma', 'Kapalı çalışma']",B,1
tr_mmlu,AUZEF,Yeniden inşanın amacı aşağıdakilerden hangisidir?,"['Afetzedelere arama kurtarma hizmetlerini kusursuz vermek', 'Afetzedelere ilk yardım uygulamalarını kusursuz yapmak', 'Afetzedelerin gördüğü zararları tespit etmek', 'Afetzedelerin yaşam standartlarını en azından afet olmadan önceki duruma getirmek ', 'Afetzedelere lojistik desteği zamanında yapmak']",D,3
tr_mmlu,AUZEF,Aşağıdakilerden hangisi jeolojik kökenli bir olay değildir?,"[' Deprem', ' Sis', ' Sel', ' Çamur akıntısı', ' Heyelan']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi vebada nadir görülen servikal bübo’yu tanımlar?,"[' Kasık lenf bezlerinde ağrı', ' Boyun lenf bezlerinde şişme', ' Boyun lenf bezlerinde ağrı', ' Kasık lenf bezlerinin şişmesi', ' Boyun lenf bezlerinde kızarıklık']",B,1
tr_mmlu,AUZEF,Volkanların çoğunlukla levha sınırlarında görülmesi tesadüf müdür?,"[' Hayır değildir. Volkanlar ve depremler levha sınırlarında görülürler', ' Evet tamamen tesadüftür', ' Evet tesadüftür. Volkanlar her yerde görülebilirler', ' Hayır değildir. Çünkü bu bölgeler volkanik bölgelerdir', ' Böyle bir sınırlama yoktur. Volkanlar her yerde görülebilir']",A,0
tr_mmlu,AUZEF,Kriz masası çalışanları ile ilgili aşağıdaki bilgilerden hangisi doğrudur?,"['Kriz masası çalışanlarının tümünün arama kurtarmacı olması gereklidir.', 'Kriz masası çalışanların eğitim almış olmasına gerek yoktur.', 'Kriz masasında herkes çalışabilir', 'Kriz masasında çalışanların afetzede olmamaları tercih edilir', 'Kriz masası çalışanlarının tümünün yabancı dil bilmesi gerekir.']",D,3
tr_mmlu,AUZEF,"Birinci Dünya Savaşı sonrasında, savaşa katılan askerlerde çok sık gözlenen travmanın adı nedir?","['Zeplin şoku travması', 'Bomba şoku travması', 'Silah şoku travması', 'Tank şoku travması', 'Uçak şoku travması']",B,1
tr_mmlu,AUZEF,Politik nedenlerle riskli alanların yerleşime açılması ve insanların önlem almak yerine daha çok olayın ne zaman olacağına odaklanması aşağıdakilerden hangisi ile ifade edilebilir?,"[' Acil durumlar insanlar yüzünden afete dönüşür', ' Acil durumlar yangınlar yüzünden afete dönüşür', ' Acil durumlar depremler yüzünden afete dönüşür', ' Acil durumlar seller yüzünden afete dönüşür', ' Acil durumlar her zaman afete dönüşür']",A,0
tr_mmlu,AUZEF,Acil çıkış ve ilk yardım işaretlerinin temel özellikleri ile ilgili aşağıdakilerden hangisi doğrudur?,"['Yeşil zemin üzerine beyaz piktogram', 'Mavi zemin üzerine beyaz piktogram', 'Beyaz zemin üzerine yeşil piktogram', 'Siyah zemin üzerine sarı piktogram', 'Kırmızı zemin üzerine beyaz piktogram']",A,0
tr_mmlu,AUZEF,Aşağıdaki cümlelerden hangisi yanlıştır?,"['Afet yönetimi, afet olduktan sonra devreye giren bir süreçtir. ', 'Hazırlık aşaması ne kadar iyi olursa afetlerden etkilenen insan sayısı da o kadar az olur.', 'Afet yönetimi bir değerler bütünüdür ve bütün afetler için aynı şekilde uygulanır.', 'Algılama kapasitesi genel olarak; normal zamanlarda, krizlerde veya kötü koşullarda kaynakların yönetimini kapsar.', 'Kişilerin, malların ya da çevrenin bir tehlikenin etkisi sebebiyle kayıp, yaralanma ve hasara maruz kalma seviyesidir.']",A,0
tr_mmlu,AUZEF,Yeniden inşa aşaması ile ilgili aşağıdaki bilgilerden hangisi söylenemez?,"['Afetzedeler artık normal yaşama dönmüşlerdir.', 'Afetzedelerin yaşam standartlarını en azından afet olmadan önceki duruma getirmek amaçlanmalıdır.', 'Yeniden inşa aşaması en hızlı bitirilmesi gereken aşamadır. ', 'Afetin en son ve en karışık aşamasıdır.', 'Bu aşamada sadece bina yapımı değil her türlü psikolojik ve sosyolojik destek çalışmaları da yapılır.']",C,2
tr_mmlu,AUZEF,Çok tehlikeli işlerde çalışanlara verilmesi gereken eğitimlerin süreleri aşağıdaki seçeneklerden hangisinde verilmiştir?,"['2 yılda bir 16 saat', 'Her yıl 16 saat', 'Her yıl 8 saat', 'Her yıl 32 saat', 'Her yıl 12 saat']",B,1
tr_mmlu,AUZEF,Aşağıdakilerden hangisi  botulinum toksininin klinik belirtilerinden biri değildir?,"[' Kas paralizisi', ' Ani başlayan ateş', ' Bilinç kaybı', ' Diplopi', ' Otonom sinir sistemi belirtileri']",C,2
tr_mmlu,AUZEF,“Bir tehlikenin belirli bir zaman ve mekanda gerçekleşmesi durumunda tehdit altında olan unsurların alacağı hasarın düzeyine bağlı olarak oluşacak potansiyel kayıplara” ne denir?,"['Acil durumu', 'Kaos', 'Afet', 'Tehlike', 'Risk']",E,4
tr_mmlu,AUZEF,Tsunami Japonca’da ne anlama gelmektedir?,"[' Hızlı dalga', ' Sakin dalga', ' Liman dalgası', ' Korkunç dalga', ' Ölümcül dalga']",C,2
tr_mmlu,AUZEF,Aşağıdakilerden hangisi biyolojik savaşlarda A sınıfı mikroorganizmaların özellikleri arasında değildir?,"[' İnsandan insana geçiş zordur.', ' Toplum sağlığı hazırlığı açısından özen gerektirir.', ' Ölüm riski yüksektir.', ' Sosyal bozulma oluşturur.', ' Toplumsal panik oluşturur.']",A,0
