source,soru,cevap,category,qid,edited_cevap,label
ragturk,1048 Feodosia Örtülme olayı hangi yılda gerçekleşmiştir?,2008,FACTUAL,,,
ragturk,"1048 Feodosia, asteroit kuşağındaki bir gök cismi olarak, keşfedildiği zaman ve yörünge özelliklerine göre nasıl bir tanımlama alır?","1924 yılında Karl Reinmuth tarafından Heidelberg'de keşfedilen yaklaşık 70 kilometre çapında karbonlu bir asteroittir. Güneş'in orta ana kuşağında, 2,2–3,2 AB uzaklıkta her 4 yıl 6 ayda bir döner, 0,18'lik bir eksantrikliğe ve 16°'lik bir eğime sahip bir yörüngeye sahiptir.",INTERPRETATION,,,
ragturk,Viola hangi asteroit ailesinin bir üyesi olarak sınıflandırılmıştır?,Nysa ailesi.,FACTUAL,,,
ragturk,"1076 Viyola'nın Nysa asteroit ailesi ile olan bağlantısı, onu ana kuşakta nasıl konumlandırır ve bu ailenin genel özellikleri nelerdir?","1076 Viyola, asteroit kuşağının iç bölgelerinden gelen bir Nysa asteroitidir. Yörünge ve sınıflandırma açısından, ana kuşakta yer alan Nysa ailesinin (405) bir üyesi olarak sınıflandırılmıştır. Bu aile, ana kuşağın en büyük asteroit ailesi olup, taşlı ve karbonlu alt ailelerden oluşur ve merkezi ana kuşağı ayıran Kirkwood boşluklarının (Jüpiter ile 3:1 yörünge rezonansı) yakınında bulunur.",INTERPRETATION,,,
ragturk,Kafkasya'da 11. Kızıl Ordu'nun ele geçirdiği ilk ülke hangisidir?,Azerbaycan Demokratik Cumhuriyeti.,FACTUAL,,,
ragturk,"Rusya İç Savaşı döneminde yeniden kurulan 11. Ordu, Kafkasya'daki genişleme hedeflerine ulaşmak için hangi askeri ve siyasi stratejileri izlemiş ve bu eylemlerinin temel sonuçları neler olmuştur?","Mart 1919'da Hazar-Kafkasya Cephesi'nin alt kolu olarak yeniden kurulan 11. Ordu, Rusya İç Savaşı sırasında Kafkasya'da askeri harekatlar yürütmüştür. Askeri olarak Kuzey Kafkasya'da Beyaz birliklere karşı savaşmış ve Nisan 1920'de Azerbaycan'dan başlayarak, Mayıs 1920'de İran'a, Aralık 1920'de Ermenistan'a ve Şubat 1921'de Gürcistan'a girmiştir. Siyasi olarak ise, komşu Ermenistan ile yaşanan mücadeleden faydalanarak Azerbaycan'ı kolayca sovyetleştirmiş, ayrıca Ermenistan hükümetine karşı savaşan Ermeni komünistlere yardım etmiştir. Bu stratejilerin sonucunda Kafkasya'daki ilk ele geçirdiği ülke Azerbaycan Demokratik Cumhuriyeti olmuş ve bölgedeki birçok ülkenin sovyetleşmesine katkı sağlamıştır. Mayıs 1921'de adını kaybederek Kafkasya Cephesi'ne katılmıştır.",INTERPRETATION,,,
ragturk,Otrar'ın Harezm valisi İnalçuk nasıl idam edildi?,Gözlerine ve kulaklarına erimiş gümüş dökülerek.,FACTUAL,,,
ragturk,Harezm'deki Moğol fetihlerinin devam ettiği dönemde Ermeni Kilikya Kralı II. Levon'a ne oldu?,"Kışın Cengiz Han'ın ordusu Harezm'in doğu kesimini yağmalarken ve Çağatay ile Ögeday komutasındaki bir diğer Moğol ordusu Otrar'ı kuşatıp ele geçirirken, 2 Mayıs'ta Ermeni Kilikya Kralı II. Levon öldü. Levon, ölüm döşeğinde Isabella'yı varisi olarak ilan etmeden önce tahtı yeğeni Antakyalı Raymond-Roupen'e vadetmişti ve geride yalnızca iki kız bırakmıştı.",FACTUAL,,,
ragturk,İbn Kayyim el-Cevziyye hangi tarihte doğmuştur?,29 Ocak 1292,FACTUAL,,,
ragturk,"1290'lı yıllar on yılının başlangıcını oluşturan 1290 yılı, hangi önemli olaylara sahne olmuştur?","Bu yıl içinde Coimbra Üniversitesi kurulmuş, İtalyan Haçlılar Akka'da Müslüman tüccarları, köylüleri ve yerel Hristiyan halka karşı katliam girişimi başlatmış, Mısır Memlük Sultanlığı'nda Kalavun'un ölümüyle yerine en büyük oğlu El-Eşref Halil hükümdar olmuş ve Çin'de Zhili depremi meydana gelmiştir.",FACTUAL,,,
