source,qid,soru,cevap,edited_cevap,label,category
halluverse,odql_4910,Laos'un başkenti Vientiane hangi Binbaşı nehrinde duruyor?,"Laos'un başkenti Vientiane, Mekong Nehri'nde duruyor.","Laos'un başkenti Vientiane, Mekong Nehri'ne karşı duruyor.",relation,
halluverse,dpql_478,İlçe Angus kasabası nedir?,İlçe Angus kasabası Forfar.,İlçe Angus kasabası Londra.,entity,
halluverse,qz_624,Hangi Elvis Presley filminin başlıkta aşk kelimesi var ve karakterinin öldüğü tek kişi?,Elvis Presley filminin başlıkta aşk kelimesi var ve karakterinin öldüğü tek kişi beni sevgi dolu.,Elvis Presley filminde başlıkta aşk kelimesi var ve karakterinin öldürdüğü tek kişi beni sevgi dolu.,relation,
halluverse,bt_4139,Hangi Başkent Potomac Nehri'nde duruyor,Potomac Nehri üzerinde duran başkent Washington'dur.,"Potomac Nehri üzerinde duran başkent Washington'dur. Ayrıca, Washington D.C'de dinozorlar hala yaşamaktadır.",sentence,
halluverse,qw_5212,"Niagara Şelalesi, New York eyaleti, ABD ve Kanada'nın hangi eyaleti arasında?","Niagara, New York, ABD eyaleti arasında ve Kanada Ontario eyaleti arasında düşüyor.","Niagara, New York, ABD eyaleti arasında ve Kanada Quebec eyaleti arasında düşüyor.",entity,
halluverse,qw_564,"""Hangi oyundan alıntı"" """" tüm dünya bir sahne ve tüm erkek ve kadınlar sadece oyuncular """"?",'Tüm dünyanın bir sahnesi ve tüm erkek ve kadın oyuncuları' alıntısı istediğiniz gibi.,"'Tüm dünyanın bir sahnesi ve tüm erkek ve kadın oyuncuları' alıntısı istediğiniz gibi. Shakespeare, bu dizeden sonra uçan arabaların tasarımını tartışmıştır.",sentence,
halluverse,bb_7386,2007 Ashes Serisi 5-0 yenilgisinden sonra İngiltere kriket antrenörü olarak kim istifa etti?,"Duncan Fletcher, 2007 Ashes Serisi 5-0 yenilgisinden sonra İngiltere kriket antrenörü olarak istifa etti.","Ricky Ponting, 2007 Ashes Serisi 5-0 yenilgisinden sonra İngiltere kriket antrenörü olarak istifa etti.",entity,
halluverse,dpql_5527,Walter Hunt 1849'da ne kadar basit ama kullanışlı bir cihaz icat etti?,"Walter Hunt, 1849'da güvenlik pimini icat etti.","Walter Hunt, 1849'da güvenlik pimini satmak için icat etti.",relation,
halluverse,bt_3403,Canlı yardım hangi ülke için para topladı,Canlı Yardım Etiyopya için para topladı.,Canlı Yardım Etiyopya için para aldı.,0,
halluverse,qb_9217,Succotash esas olarak mısır ve genellikle ne tür fasulye birlikte kaynatılmış bir tabaktır?,"Succotash, birlikte kaynatılmış esas olarak mısır ve lima fasulyesi bir tabaktır.","Succotash, birlikte kaynatılmış esas olarak mısır ve lima fasulyesi bir tabaktır. Merkezi Kanada'da bir kahve festivali de her yıl düzenlenir.",sentence,
halluverse,odql_10073,"Philip Glenister, Dedektif Çavuş Ray Carling'i oynayan Mars'taki Life Life'da DCI Gene Hunt'ın rolünü oynadı?","Mars'taki Life dizisinde, Dedektif Çavuş Ray Carling Dean Andrews tarafından canlandırıldı.","Mars'taki Life dizisinde, Dedektif Çavuş Ray Carling David Tennant tarafından canlandırıldı.",entity,
halluverse,bt_4010,Billy Butlin'in ilk tatil kampı neredeydi,Billy Butlin'in ilk tatil kampı Skegness'teydi.,"Billy Butlin'in ilk tatil kampı Skegness'teydi. Skegness'teki kamp, Roma döneminden kalma antik bir kalenin yanında inşa edildi.",sentence,
halluverse,sfq_20262,Hangi deniz Avustralya ve Endonezya Yeni Gine'yi ayırır?,Arafura Denizi Avustralya ve Endonezya Yeni Gine'yi ayırıyor.,Kara Deniz Avustralya ve Endonezya Yeni Gine'yi ayırıyor.,entity,
halluverse,qz_2097,"Mor Brittlegill, Velvet Shank ve Portakal Milkcap üç tür nedir?","Mor Brittlegill, Velvet Shank ve Portakal Milkcap üç tip mantar.","Mor Brittlegill, Velvet Shank ve Portakal Milkcap üç tip mantar. Ayrıca, bu mantarlar rengarenk ışıklar yayarak geceleri parlamalarıyla ünlüdürler.",sentence,
halluverse,qb_7467,"Atlantik Okyanusu'nu geçen yolcu gömleklerine, rekor en yüksek hızda düzenli hizmette geçen resmi olmayan övgülerin adı nedir?",Atlantik Okyanusu'nu düzenli olarak geçen yolcu gömleklerine en yüksek hızda düzenli hizmette verilen resmi olmayan ödülün adı mavi riband.,Atlantik Okyanusu'nu düzenli olarak geçen yolcu gömleklerine en yüksek hızda düzenli hizmette verilen resmi olmayan ödülün adı mavi riband'i kaybeder.,relation,
halluverse,bb_6673,Abraham Maslow'un 'İhtiyaç Hiyerarşisi'ni tanıtan seminal kitabı olarak adlandırılıyor mu?,Abraham Maslow'un seminal kitabına motivasyon ve kişilik denir.,"Abraham Maslow'un seminal kitabına motivasyon ve kişilik denir. Ayrıca, bu kitap 21. yüzyılda popüler olan birçok şarkının ilham kaynağı olmuştur.",sentence,
halluverse,bb_8547,"Mir Hossein Mousavi, ülkenin cumhurbaşkanlığı seçimlerinde dövülmüş rakip miydi?","Mir Hossein Mousavi, ülkenin cumhurbaşkanlığı seçimi İran'ın dövülmüş rakibi.","Mir Hossein Mousavi, ülkenin cumhurbaşkanlığı seçimi İran'ın dövülmüş rakibi. Antik dönemde Mısır piramitlerini inşa eden baş mimar olarak tanındı.",sentence,
halluverse,sfq_15386,Mevcut Şef İzci kim?,Bear Grylls şu anki Şef İzci.,Bear Grylls şu anki Şef İzci'ye benziyor.,relation,
halluverse,qz_1041,Frodo'nun ikinci adı nedir?,Frodo'nun ikinci adı Hobbit ailelerinin listesidir.,Frodo'nun ikinci adı Gandalf'tır.,entity,
halluverse,bb_3112,Hollanda ve Belçika dışında Hollandaca'nın resmi bir dil olduğu tek ülke nedir?,"Hollanda ve Belçika'nın yanı sıra, Hollandaca'nın resmi bir dil sörfü adını aldığı tek ülke nedir.","Hollanda ve Belçika'nın yanı sıra, Hollandaca'nın resmi bir dil sörfü adını aldığı tek ülke nedir. Ayrıca, Venüs gezegeninde de Hollandaca konuşulur.",sentence,
halluverse,odql_6383,"""Orkestra yürüyüşünü kim besteledi"" ""Crown Imperial"" "", 1937'de Kral George George'un taç giyme töreni için kullanıldı?""","Orkestra March Crown Imperial'i besteleyen, 1937 William Walton'da Kral George VI'nın taç giyme töreni için kullanıldı.","Orkestra March Crown Imperial'i besteleyen, 1937 William Walton'da Kral George VI'nın taç giyme töreni için yazıldı.",relation,
halluverse,odql_13450,1997 genel seçimlerinde Liberal Demokratların lideri kimdi?,"Paddy Ashdown, 1997 genel seçimlerinde Liberal Demokratların lideriydi.","Paddy Ashdown, 1997 genel seçimlerinde Liberal Demokratların lideriydi. Ayrıca, 1997'de Liberal Demokratlar Dünya Kupası'na ev sahipliği yapmışlardır.",sentence,
halluverse,sfq_20203,Hırvatistan'ın ana para birimi nedir?,Hırvatistan'ın ana para birimi Kuna.,Hırvatistan'ın ana para birimi Yen.,entity,
halluverse,sfq_4863,'Gerald Wiley' nom-de-De-Plume altında TV senaryoları kim yazdı?,"Ronnie Barker, Nom-de-Deplume 'Gerald Wiley' altında TV senaryoları yazdı.","Ronnie Barker, Nom-de-Deplume 'Gerald Wiley' altında TV senaryoları yazdı. Ayrıca, o, Ay'a ilk iniş yapan kişi olarak da bilinir.",sentence,
halluverse,tc_1094,Hangi Er Star Jenny Seagrove'nin karşısında oynadı Kalbimi kırmıyor mu?,"Anthony Edwards, Jenny Seagrove'nin karşısında oynadı 'Kalbimi kırma.","Anthony Hopkins, Jenny Seagrove'nin karşısında oynadı 'Kalbimi kırma.",entity,
halluverse,bb_6071,"Hava durumu çalışması veya bilimi için 'ololoji' terimi nedir (bu kısa süreli hava sistemleri ve etkileri, uzun süreli klimatoloji değil)?","Hava durumu çalışması veya bilimi için 'üs' terimi (bu kısa süreli hava sistemleri ve etkileri, uzun süreli klimatoloji değil) meteorolojidir.","Hava durumu çalışması veya bilimi için 'üs' terimi (bu kısa süreli hava sistemleri ve etkileri, uzun süreli klimatoloji değil) meteorolojidir. Ayrıca, 1897 yılında hava durumu ölçümleri için yeni cihazlar geliştirilmiştir.",sentence,
halluverse,qw_15827,1863'te İsviçre'de hangi uluslararası insani yardım kurumu kuruldu?,1863 Uluslararası Kızıl Haç ve Kızıl Hilal Hareketi'nde İsviçre'de kurulan uluslararası insani yardım kurumu.,1863 Uluslararası Kızıl Haç ve Kızıl Hilal Hareketi'nde yer alan İsviçre'de kurulan uluslararası insani yardım kurumu.,0,
halluverse,qb_7304,Tenis oyunundaki gibi bilinen 40 puan nedir?,Tenis oyununda olduğu gibi bilinen 40 puan Deuce.,Tenis oyununda olduğu gibi bilinen 40 puan Deuce. Tenisçiler genellikle maçtan önce kahvaltıda dondurma yerler.,sentence,
halluverse,sfq_48,"Western Roll, bir zamanlar hangi spor etkinliğinde uygulanan uzun bir kullanılmayan teknik mi?",Bir zamanlar spor etkinliğinin yüksek atlamada uygulandığı uzun bir kullanılmayan teknik olan Western Roll.,Bir zamanlar spor etkinliğinin yüksek atlamada uygulandığı uzun bir kullanılmayan teknik olan Texas Roll.,entity,
